timestamp,idx,n_total,method,aggregation,score,param.dim,param.attr_mode,param.weights_vec,raw.params
"2025-09-29 15:04:23,970",5,528,fastrp,mean_pool,0.4349,64,none,"[1,1,1,1,1,1,1,1,1,1]","{'attr_mode': 'none', 'dim': 64, 'weights': [1, 1, 1, 1, 1, 1, 1, 1, 1, 1]}"
"2025-09-29 15:04:35,794",6,528,fastrp,global_attention,0.4424,64,none,"[1,1,1,1,1,1,1,1,1,1]","{'attr_mode': 'none', 'dim': 64, 'weights': [1, 1, 1, 1, 1, 1, 1, 1, 1, 1]}"
"2025-09-29 15:04:45,083",7,528,fastrp,set2set,0.4391,64,none,"[1,1,1,1,1,1,1,1,1,1]","{'attr_mode': 'none', 'dim': 64, 'weights': [1, 1, 1, 1, 1, 1, 1, 1, 1, 1]}"
"2025-09-29 15:04:54,648",8,528,fastrp,mil_attention,0.45,64,none,"[1,1,1,1,1,1,1,1,1,1]","{'attr_mode': 'none', 'dim': 64, 'weights': [1, 1, 1, 1, 1, 1, 1, 1, 1, 1]}"
"2025-09-29 15:05:04,494",9,528,fastrp,mean_pool,0.436,64,none,"[1,2,4,8,16,16,8,4,2,1]","{'attr_mode': 'none', 'dim': 64, 'weights': [1, 2, 4, 8, 16, 16, 8, 4, 2, 1]}"
"2025-09-29 15:05:13,402",10,528,fastrp,global_attention,0.4308,64,none,"[1,2,4,8,16,16,8,4,2,1]","{'attr_mode': 'none', 'dim': 64, 'weights': [1, 2, 4, 8, 16, 16, 8, 4, 2, 1]}"
"2025-09-29 15:05:21,791",11,528,fastrp,set2set,0.4299,64,none,"[1,2,4,8,16,16,8,4,2,1]","{'attr_mode': 'none', 'dim': 64, 'weights': [1, 2, 4, 8, 16, 16, 8, 4, 2, 1]}"
"2025-09-29 15:05:30,015",12,528,fastrp,mil_attention,0.4054,64,none,"[1,2,4,8,16,16,8,4,2,1]","{'attr_mode': 'none', 'dim': 64, 'weights': [1, 2, 4, 8, 16, 16, 8, 4, 2, 1]}"
"2025-09-29 15:05:39,011",13,528,fastrp,mean_pool,0.4349,64,none,"[1,2,4,8,16,32,64,128,256,512]","{'attr_mode': 'none', 'dim': 64, 'weights': [1, 2, 4, 8, 16, 32, 64, 128, 256, 512]}"
"2025-09-29 15:05:47,810",14,528,fastrp,global_attention,0.4836,64,none,"[1,2,4,8,16,32,64,128,256,512]","{'attr_mode': 'none', 'dim': 64, 'weights': [1, 2, 4, 8, 16, 32, 64, 128, 256, 512]}"
"2025-09-29 15:05:56,639",15,528,fastrp,set2set,0.4734,64,none,"[1,2,4,8,16,32,64,128,256,512]","{'attr_mode': 'none', 'dim': 64, 'weights': [1, 2, 4, 8, 16, 32, 64, 128, 256, 512]}"
"2025-09-29 15:06:04,867",16,528,fastrp,mil_attention,0.4203,64,none,"[1,2,4,8,16,32,64,128,256,512]","{'attr_mode': 'none', 'dim': 64, 'weights': [1, 2, 4, 8, 16, 32, 64, 128, 256, 512]}"
"2025-09-29 15:06:13,831",17,528,fastrp,mean_pool,0.4349,64,none,"[1,1,1,1,1,1,1,1,1,0]","{'attr_mode': 'none', 'dim': 64, 'weights': [1, 1, 1, 1, 1, 1, 1, 1, 1, 0]}"
"2025-09-29 15:06:22,007",18,528,fastrp,global_attention,0.4392,64,none,"[1,1,1,1,1,1,1,1,1,0]","{'attr_mode': 'none', 'dim': 64, 'weights': [1, 1, 1, 1, 1, 1, 1, 1, 1, 0]}"
"2025-09-29 15:06:30,810",19,528,fastrp,set2set,0.4424,64,none,"[1,1,1,1,1,1,1,1,1,0]","{'attr_mode': 'none', 'dim': 64, 'weights': [1, 1, 1, 1, 1, 1, 1, 1, 1, 0]}"
"2025-09-29 15:06:39,597",20,528,fastrp,mil_attention,0.4567,64,none,"[1,1,1,1,1,1,1,1,1,0]","{'attr_mode': 'none', 'dim': 64, 'weights': [1, 1, 1, 1, 1, 1, 1, 1, 1, 0]}"
"2025-09-29 15:06:48,587",21,528,fastrp,mean_pool,0.435,64,none,"[1,1,1,1,1,1,1,1,0,0]","{'attr_mode': 'none', 'dim': 64, 'weights': [1, 1, 1, 1, 1, 1, 1, 1, 0, 0]}"
"2025-09-29 15:06:57,312",22,528,fastrp,global_attention,0.422,64,none,"[1,1,1,1,1,1,1,1,0,0]","{'attr_mode': 'none', 'dim': 64, 'weights': [1, 1, 1, 1, 1, 1, 1, 1, 0, 0]}"
"2025-09-29 15:07:05,517",23,528,fastrp,set2set,0.4313,64,none,"[1,1,1,1,1,1,1,1,0,0]","{'attr_mode': 'none', 'dim': 64, 'weights': [1, 1, 1, 1, 1, 1, 1, 1, 0, 0]}"
"2025-09-29 15:07:14,200",24,528,fastrp,mil_attention,0.4259,64,none,"[1,1,1,1,1,1,1,1,0,0]","{'attr_mode': 'none', 'dim': 64, 'weights': [1, 1, 1, 1, 1, 1, 1, 1, 0, 0]}"
"2025-09-29 15:07:23,204",25,528,fastrp,mean_pool,0.435,64,none,"[1,1,1,1,1,1,1,0,0,0]","{'attr_mode': 'none', 'dim': 64, 'weights': [1, 1, 1, 1, 1, 1, 1, 0, 0, 0]}"
"2025-09-29 15:07:31,974",26,528,fastrp,global_attention,0.43,64,none,"[1,1,1,1,1,1,1,0,0,0]","{'attr_mode': 'none', 'dim': 64, 'weights': [1, 1, 1, 1, 1, 1, 1, 0, 0, 0]}"
"2025-09-29 15:07:40,282",27,528,fastrp,set2set,0.3965,64,none,"[1,1,1,1,1,1,1,0,0,0]","{'attr_mode': 'none', 'dim': 64, 'weights': [1, 1, 1, 1, 1, 1, 1, 0, 0, 0]}"
"2025-09-29 15:07:49,021",28,528,fastrp,mil_attention,0.4552,64,none,"[1,1,1,1,1,1,1,0,0,0]","{'attr_mode': 'none', 'dim': 64, 'weights': [1, 1, 1, 1, 1, 1, 1, 0, 0, 0]}"
"2025-09-29 15:07:58,042",29,528,fastrp,mean_pool,0.4358,64,none,"[1,1,1,1,1,1,0,0,0,0]","{'attr_mode': 'none', 'dim': 64, 'weights': [1, 1, 1, 1, 1, 1, 0, 0, 0, 0]}"
"2025-09-29 15:08:06,243",30,528,fastrp,global_attention,0.44,64,none,"[1,1,1,1,1,1,0,0,0,0]","{'attr_mode': 'none', 'dim': 64, 'weights': [1, 1, 1, 1, 1, 1, 0, 0, 0, 0]}"
"2025-09-29 15:08:14,427",31,528,fastrp,set2set,0.4844,64,none,"[1,1,1,1,1,1,0,0,0,0]","{'attr_mode': 'none', 'dim': 64, 'weights': [1, 1, 1, 1, 1, 1, 0, 0, 0, 0]}"
"2025-09-29 15:08:23,144",32,528,fastrp,mil_attention,0.4512,64,none,"[1,1,1,1,1,1,0,0,0,0]","{'attr_mode': 'none', 'dim': 64, 'weights': [1, 1, 1, 1, 1, 1, 0, 0, 0, 0]}"
"2025-09-29 15:08:32,148",33,528,fastrp,mean_pool,0.4349,64,none,"[1,1,1,1,1,0,0,0,0,0]","{'attr_mode': 'none', 'dim': 64, 'weights': [1, 1, 1, 1, 1, 0, 0, 0, 0, 0]}"
"2025-09-29 15:08:40,918",34,528,fastrp,global_attention,0.4929,64,none,"[1,1,1,1,1,0,0,0,0,0]","{'attr_mode': 'none', 'dim': 64, 'weights': [1, 1, 1, 1, 1, 0, 0, 0, 0, 0]}"
"2025-09-29 15:08:49,678",35,528,fastrp,set2set,0.4494,64,none,"[1,1,1,1,1,0,0,0,0,0]","{'attr_mode': 'none', 'dim': 64, 'weights': [1, 1, 1, 1, 1, 0, 0, 0, 0, 0]}"
"2025-09-29 15:08:58,400",36,528,fastrp,mil_attention,0.4236,64,none,"[1,1,1,1,1,0,0,0,0,0]","{'attr_mode': 'none', 'dim': 64, 'weights': [1, 1, 1, 1, 1, 0, 0, 0, 0, 0]}"
"2025-09-29 15:09:07,425",37,528,fastrp,mean_pool,0.4348,64,none,"[1,1,1,1,0,0,0,0,0,0]","{'attr_mode': 'none', 'dim': 64, 'weights': [1, 1, 1, 1, 0, 0, 0, 0, 0, 0]}"
"2025-09-29 15:09:15,648",38,528,fastrp,global_attention,0.4411,64,none,"[1,1,1,1,0,0,0,0,0,0]","{'attr_mode': 'none', 'dim': 64, 'weights': [1, 1, 1, 1, 0, 0, 0, 0, 0, 0]}"
"2025-09-29 15:09:24,422",39,528,fastrp,set2set,0.4244,64,none,"[1,1,1,1,0,0,0,0,0,0]","{'attr_mode': 'none', 'dim': 64, 'weights': [1, 1, 1, 1, 0, 0, 0, 0, 0, 0]}"
"2025-09-29 15:09:33,159",40,528,fastrp,mil_attention,0.4263,64,none,"[1,1,1,1,0,0,0,0,0,0]","{'attr_mode': 'none', 'dim': 64, 'weights': [1, 1, 1, 1, 0, 0, 0, 0, 0, 0]}"
"2025-09-29 15:09:42,256",41,528,fastrp,mean_pool,0.4375,64,none,"[1,1,1,0,0,0,0,0,0,0]","{'attr_mode': 'none', 'dim': 64, 'weights': [1, 1, 1, 0, 0, 0, 0, 0, 0, 0]}"
"2025-09-29 15:09:50,519",42,528,fastrp,global_attention,0.4261,64,none,"[1,1,1,0,0,0,0,0,0,0]","{'attr_mode': 'none', 'dim': 64, 'weights': [1, 1, 1, 0, 0, 0, 0, 0, 0, 0]}"
"2025-09-29 15:09:59,258",43,528,fastrp,set2set,0.4381,64,none,"[1,1,1,0,0,0,0,0,0,0]","{'attr_mode': 'none', 'dim': 64, 'weights': [1, 1, 1, 0, 0, 0, 0, 0, 0, 0]}"
"2025-09-29 15:10:07,491",44,528,fastrp,mil_attention,0.4012,64,none,"[1,1,1,0,0,0,0,0,0,0]","{'attr_mode': 'none', 'dim': 64, 'weights': [1, 1, 1, 0, 0, 0, 0, 0, 0, 0]}"
"2025-09-29 15:10:16,521",45,528,fastrp,mean_pool,0.4365,64,none,"[1,1,0,0,0,0,0,0,0,0]","{'attr_mode': 'none', 'dim': 64, 'weights': [1, 1, 0, 0, 0, 0, 0, 0, 0, 0]}"
"2025-09-29 15:10:24,752",46,528,fastrp,global_attention,0.4292,64,none,"[1,1,0,0,0,0,0,0,0,0]","{'attr_mode': 'none', 'dim': 64, 'weights': [1, 1, 0, 0, 0, 0, 0, 0, 0, 0]}"
"2025-09-29 15:10:33,520",47,528,fastrp,set2set,0.4212,64,none,"[1,1,0,0,0,0,0,0,0,0]","{'attr_mode': 'none', 'dim': 64, 'weights': [1, 1, 0, 0, 0, 0, 0, 0, 0, 0]}"
"2025-09-29 15:10:42,332",48,528,fastrp,mil_attention,0.427,64,none,"[1,1,0,0,0,0,0,0,0,0]","{'attr_mode': 'none', 'dim': 64, 'weights': [1, 1, 0, 0, 0, 0, 0, 0, 0, 0]}"
"2025-09-29 15:10:51,382",49,528,fastrp,mean_pool,0.4452,64,none,"[1,0,0,0,0,0,0,0,0,0]","{'attr_mode': 'none', 'dim': 64, 'weights': [1, 0, 0, 0, 0, 0, 0, 0, 0, 0]}"
