timestamp,idx,n_total,method,aggregation,score,param.dim,param.attr_mode,param.weights_vec,raw.params
"2025-09-29 14:51:54,281",5,264,fastrp-het,mean_pool,0.4758,64,,"[1,1,1,1,1,1,1,1,1,1]","{'dim': 64, 'weights': [1, 1, 1, 1, 1, 1, 1, 1, 1, 1]}"
"2025-09-29 14:52:11,684",6,264,fastrp-het,global_attention,0.4669,64,,"[1,1,1,1,1,1,1,1,1,1]","{'dim': 64, 'weights': [1, 1, 1, 1, 1, 1, 1, 1, 1, 1]}"
"2025-09-29 14:52:22,355",7,264,fastrp-het,set2set,0.517,64,,"[1,1,1,1,1,1,1,1,1,1]","{'dim': 64, 'weights': [1, 1, 1, 1, 1, 1, 1, 1, 1, 1]}"
"2025-09-29 14:52:32,791",8,264,fastrp-het,mil_attention,0.4706,64,,"[1,1,1,1,1,1,1,1,1,1]","{'dim': 64, 'weights': [1, 1, 1, 1, 1, 1, 1, 1, 1, 1]}"
"2025-09-29 14:52:44,855",9,264,fastrp-het,mean_pool,0.4755,64,,"[1,2,4,8,16,16,8,4,2,1]","{'dim': 64, 'weights': [1, 2, 4, 8, 16, 16, 8, 4, 2, 1]}"
"2025-09-29 14:52:56,183",10,264,fastrp-het,global_attention,0.4723,64,,"[1,2,4,8,16,16,8,4,2,1]","{'dim': 64, 'weights': [1, 2, 4, 8, 16, 16, 8, 4, 2, 1]}"
"2025-09-29 14:53:06,404",11,264,fastrp-het,set2set,0.511,64,,"[1,2,4,8,16,16,8,4,2,1]","{'dim': 64, 'weights': [1, 2, 4, 8, 16, 16, 8, 4, 2, 1]}"
"2025-09-29 14:53:16,623",12,264,fastrp-het,mil_attention,0.4876,64,,"[1,2,4,8,16,16,8,4,2,1]","{'dim': 64, 'weights': [1, 2, 4, 8, 16, 16, 8, 4, 2, 1]}"
"2025-09-29 14:53:28,655",13,264,fastrp-het,mean_pool,0.4762,64,,"[1,2,4,8,16,32,64,128,256,512]","{'dim': 64, 'weights': [1, 2, 4, 8, 16, 32, 64, 128, 256, 512]}"
"2025-09-29 14:53:38,862",14,264,fastrp-het,global_attention,0.4915,64,,"[1,2,4,8,16,32,64,128,256,512]","{'dim': 64, 'weights': [1, 2, 4, 8, 16, 32, 64, 128, 256, 512]}"
"2025-09-29 14:53:50,007",15,264,fastrp-het,set2set,0.5163,64,,"[1,2,4,8,16,32,64,128,256,512]","{'dim': 64, 'weights': [1, 2, 4, 8, 16, 32, 64, 128, 256, 512]}"
"2025-09-29 14:54:01,132",16,264,fastrp-het,mil_attention,0.467,64,,"[1,2,4,8,16,32,64,128,256,512]","{'dim': 64, 'weights': [1, 2, 4, 8, 16, 32, 64, 128, 256, 512]}"
"2025-09-29 14:54:12,272",17,264,fastrp-het,mean_pool,0.4769,64,,"[1,1,1,1,1,1,1,1,1,0]","{'dim': 64, 'weights': [1, 1, 1, 1, 1, 1, 1, 1, 1, 0]}"
"2025-09-29 14:54:22,509",18,264,fastrp-het,global_attention,0.4719,64,,"[1,1,1,1,1,1,1,1,1,0]","{'dim': 64, 'weights': [1, 1, 1, 1, 1, 1, 1, 1, 1, 0]}"
"2025-09-29 14:54:32,683",19,264,fastrp-het,set2set,0.508,64,,"[1,1,1,1,1,1,1,1,1,0]","{'dim': 64, 'weights': [1, 1, 1, 1, 1, 1, 1, 1, 1, 0]}"
"2025-09-29 14:54:43,754",20,264,fastrp-het,mil_attention,0.4858,64,,"[1,1,1,1,1,1,1,1,1,0]","{'dim': 64, 'weights': [1, 1, 1, 1, 1, 1, 1, 1, 1, 0]}"
"2025-09-29 14:54:56,178",21,264,fastrp-het,mean_pool,0.4765,64,,"[1,1,1,1,1,1,1,1,0,0]","{'dim': 64, 'weights': [1, 1, 1, 1, 1, 1, 1, 1, 0, 0]}"
"2025-09-29 14:55:07,669",22,264,fastrp-het,global_attention,0.4751,64,,"[1,1,1,1,1,1,1,1,0,0]","{'dim': 64, 'weights': [1, 1, 1, 1, 1, 1, 1, 1, 0, 0]}"
"2025-09-29 14:55:17,950",23,264,fastrp-het,set2set,0.5208,64,,"[1,1,1,1,1,1,1,1,0,0]","{'dim': 64, 'weights': [1, 1, 1, 1, 1, 1, 1, 1, 0, 0]}"
"2025-09-29 14:55:28,245",24,264,fastrp-het,mil_attention,0.5062,64,,"[1,1,1,1,1,1,1,1,0,0]","{'dim': 64, 'weights': [1, 1, 1, 1, 1, 1, 1, 1, 0, 0]}"
"2025-09-29 14:55:39,238",25,264,fastrp-het,mean_pool,0.4766,64,,"[1,1,1,1,1,1,1,0,0,0]","{'dim': 64, 'weights': [1, 1, 1, 1, 1, 1, 1, 0, 0, 0]}"
"2025-09-29 14:55:50,479",26,264,fastrp-het,global_attention,0.4637,64,,"[1,1,1,1,1,1,1,0,0,0]","{'dim': 64, 'weights': [1, 1, 1, 1, 1, 1, 1, 0, 0, 0]}"
"2025-09-29 14:56:01,878",27,264,fastrp-het,set2set,0.4835,64,,"[1,1,1,1,1,1,1,0,0,0]","{'dim': 64, 'weights': [1, 1, 1, 1, 1, 1, 1, 0, 0, 0]}"
"2025-09-29 14:56:12,229",28,264,fastrp-het,mil_attention,0.4331,64,,"[1,1,1,1,1,1,1,0,0,0]","{'dim': 64, 'weights': [1, 1, 1, 1, 1, 1, 1, 0, 0, 0]}"
"2025-09-29 14:56:24,133",29,264,fastrp-het,mean_pool,0.4752,64,,"[1,1,1,1,1,1,0,0,0,0]","{'dim': 64, 'weights': [1, 1, 1, 1, 1, 1, 0, 0, 0, 0]}"
"2025-09-29 14:56:34,390",30,264,fastrp-het,global_attention,0.4626,64,,"[1,1,1,1,1,1,0,0,0,0]","{'dim': 64, 'weights': [1, 1, 1, 1, 1, 1, 0, 0, 0, 0]}"
"2025-09-29 14:56:45,725",31,264,fastrp-het,set2set,0.4843,64,,"[1,1,1,1,1,1,0,0,0,0]","{'dim': 64, 'weights': [1, 1, 1, 1, 1, 1, 0, 0, 0, 0]}"
