Sample,Pathology,moran_I,Slide
Mel43_BMS_region_001,interface,0.7324349967271078,Mel43_BMS
Mel43_BMS_region_002,interface,0.6043762960179098,Mel43_BMS
Mel43_BMS_region_003,interface,0.365702233143375,Mel43_BMS
Mel43_BMS_region_004,interface,0.3626310662828488,Mel43_BMS
Mel43_BMS_region_005,interface,0.4485383665268485,Mel43_BMS
Mel43_BMS_region_006,interface,0.4486623654593668,Mel43_BMS
Mel43_BMS_region_007,interface,0.5501885053059473,Mel43_BMS
Mel43_BMS_region_008,interface,0.6368861758377037,Mel43_BMS
Mel43_BMS_region_009,interface,0.3974460121155402,Mel43_BMS
Mel43_BMS_region_010,interface,0.5720259336163765,Mel43_BMS
Mel43_BMS_region_011,tumor,0.2376064946462306,Mel43_BMS
Mel43_BMS_region_012,tumor,0.3968894660318717,Mel43_BMS
Mel43_BMS_region_013,tumor,0.3577459142125255,Mel43_BMS
Mel43_BMS_region_014,tumor,0.3361577344921428,Mel43_BMS
Mel43_BMS_region_015,tumor,0.4150743745034012,Mel43_BMS
Mel43_BMS_region_016,tumor,0.4869377220066777,Mel43_BMS
Mel43_BMS_region_017,tumor,0.4472783073427797,Mel43_BMS
Mel43_BMS_region_018,tumor,0.4063737083968322,Mel43_BMS
Mel43_BMS_region_019,tumor,0.5735619032266083,Mel43_BMS
Mel43_BMS_region_021,stroma,,Mel43_BMS
Mel43_BMS_region_022,stroma,-0.0001667179645018,Mel43_BMS
Mel43_BMS_region_023,stroma,0.0671816057618981,Mel43_BMS
Mel43_BMS_region_024,stroma,-0.0005589767069554,Mel43_BMS
Mel43_BMS_region_025,stroma,-0.0001243824169197,Mel43_BMS
Mel43_BMS_region_026,stroma,0.0691352200933621,Mel43_BMS
Mel43_BMS_region_027,stroma,0.1538957661338217,Mel43_BMS
Mel43_BMS_region_028,stroma,-0.0002793854536724,Mel43_BMS
Mel43_BMS_region_029,stroma,0.0125931471947459,Mel43_BMS
Mel43_BMS_region_030,stroma,-0.0005758455731068,Mel43_BMS
Mel43_BMS_region_031,interface,0.3456027341948971,Mel43_BMS
Mel43_BMS_region_032,stroma,0.1104787542081816,Mel43_BMS
Mel43_BMS_region_033,stroma,0.7041815548410553,Mel43_BMS
Mel44_BMS_region_001,interface,0.7694601628160638,Mel44_BMS
Mel44_BMS_region_002,interface,0.5456701921643932,Mel44_BMS
Mel44_BMS_region_003,interface,0.6256621526269589,Mel44_BMS
Mel44_BMS_region_004,interface,0.5822149629598322,Mel44_BMS
Mel44_BMS_region_005,interface,0.5956182589045786,Mel44_BMS
Mel44_BMS_region_006,interface,0.5641144167162729,Mel44_BMS
Mel44_BMS_region_007,interface,0.5650332947813992,Mel44_BMS
Mel44_BMS_region_008,interface,0.5640151144168574,Mel44_BMS
Mel44_BMS_region_009,interface,0.7622976959374218,Mel44_BMS
Mel44_BMS_region_010,interface,0.5610232170560528,Mel44_BMS
Mel44_BMS_region_011,tumor,0.4896138175748394,Mel44_BMS
Mel44_BMS_region_013,tumor,0.5319236339645087,Mel44_BMS
Mel44_BMS_region_014,tumor,0.5239104925041991,Mel44_BMS
Mel44_BMS_region_015,tumor,0.5628960527625348,Mel44_BMS
Mel44_BMS_region_016,tumor,0.4612570340071821,Mel44_BMS
Mel44_BMS_region_017,tumor,0.4795542306579826,Mel44_BMS
Mel44_BMS_region_018,tumor,0.6150408730220062,Mel44_BMS
Mel44_BMS_region_019,tumor,0.4893704693346848,Mel44_BMS
Mel44_BMS_region_020,tumor,0.5185331425355582,Mel44_BMS
Mel44_BMS_region_021,stroma,0.2550806280718785,Mel44_BMS
Mel44_BMS_region_022,stroma,0.2033920987439497,Mel44_BMS
Mel44_BMS_region_023,stroma,0.5170749278192905,Mel44_BMS
Mel44_BMS_region_024,stroma,0.3787006673539527,Mel44_BMS
Mel44_BMS_region_025,stroma,0.0948401517898882,Mel44_BMS
Mel44_BMS_region_026,stroma,0.4858913816346796,Mel44_BMS
Mel44_BMS_region_027,stroma,0.0750776129777619,Mel44_BMS
Mel44_BMS_region_028,stroma,0.2828783050430254,Mel44_BMS
Mel44_BMS_region_029,stroma,0.1480602168814666,Mel44_BMS
Mel44_BMS_region_030,stroma,0.2439519281023739,Mel44_BMS
Mel44_BMS_region_031,tumor,0.2963803144380268,Mel44_BMS
Mel44_BMS_region_032,tumor,0.4108746563530787,Mel44_BMS
Mel44_BMS_region_033,tumor,0.3132658646628463,Mel44_BMS
Mel44_BMS_region_034,tumor,0.4537468162091351,Mel44_BMS
Mel44_BMS_region_035,tumor,0.4673766354724458,Mel44_BMS
Mel44_BMS_region_036,tumor,0.3687559093020227,Mel44_BMS
Mel44_BMS_region_037,tumor,0.5574536879829335,Mel44_BMS
Mel44_BMS_region_038,tumor,0.3148475072877648,Mel44_BMS
Mel44_BMS_region_039,tumor,0.483605577791508,Mel44_BMS
Mel44_BMS_region_040,tumor,0.5237468903008892,Mel44_BMS
