Sample,Pathology,moran_I,Slide
Mel43_BMS_region_001,interface,0.2675650032728922,Mel43_BMS
Mel43_BMS_region_002,interface,0.3956237039820902,Mel43_BMS
Mel43_BMS_region_003,interface,0.634297766856625,Mel43_BMS
Mel43_BMS_region_004,interface,0.6373689337171512,Mel43_BMS
Mel43_BMS_region_005,interface,0.5514616334731515,Mel43_BMS
Mel43_BMS_region_006,interface,0.5513376345406332,Mel43_BMS
Mel43_BMS_region_007,interface,0.4498114946940527,Mel43_BMS
Mel43_BMS_region_008,interface,0.3631138241622963,Mel43_BMS
Mel43_BMS_region_009,interface,0.6025539878844598,Mel43_BMS
Mel43_BMS_region_010,interface,0.4279740663836234,Mel43_BMS
Mel43_BMS_region_011,tumor,0.7623935053537694,Mel43_BMS
Mel43_BMS_region_012,tumor,-0.6031105339681283,Mel43_BMS
Mel43_BMS_region_013,tumor,-0.6422540857874746,Mel43_BMS
Mel43_BMS_region_014,tumor,-0.6638422655078572,Mel43_BMS
Mel43_BMS_region_015,tumor,-0.5849256254965989,Mel43_BMS
Mel43_BMS_region_016,tumor,-0.5130622779933223,Mel43_BMS
Mel43_BMS_region_017,tumor,-0.5527216926572203,Mel43_BMS
Mel43_BMS_region_018,tumor,-0.5936262916031678,Mel43_BMS
Mel43_BMS_region_019,tumor,0.4264380967733917,Mel43_BMS
Mel43_BMS_region_021,stroma,,Mel43_BMS
Mel43_BMS_region_022,stroma,1.0,Mel43_BMS
Mel43_BMS_region_023,stroma,0.932818394238102,Mel43_BMS
Mel43_BMS_region_024,stroma,1.0,Mel43_BMS
Mel43_BMS_region_025,stroma,1.0,Mel43_BMS
Mel43_BMS_region_026,stroma,0.930864779906638,Mel43_BMS
Mel43_BMS_region_027,stroma,0.8461042338661783,Mel43_BMS
Mel43_BMS_region_028,stroma,1.0,Mel43_BMS
Mel43_BMS_region_029,stroma,0.987406852805254,Mel43_BMS
Mel43_BMS_region_030,stroma,1.0,Mel43_BMS
Mel43_BMS_region_031,interface,0.6543972658051029,Mel43_BMS
Mel43_BMS_region_032,stroma,0.8895212457918185,Mel43_BMS
Mel43_BMS_region_033,stroma,0.2958184451589447,Mel43_BMS
Mel44_BMS_region_001,interface,0.2305398371839362,Mel44_BMS
Mel44_BMS_region_002,interface,0.4543298078356068,Mel44_BMS
Mel44_BMS_region_003,interface,0.3743378473730411,Mel44_BMS
Mel44_BMS_region_004,interface,0.4177850370401678,Mel44_BMS
Mel44_BMS_region_005,interface,0.4043817410954213,Mel44_BMS
Mel44_BMS_region_006,interface,0.435885583283727,Mel44_BMS
Mel44_BMS_region_007,interface,0.4349667052186008,Mel44_BMS
Mel44_BMS_region_008,interface,0.4359848855831426,Mel44_BMS
Mel44_BMS_region_009,interface,0.2377023040625782,Mel44_BMS
Mel44_BMS_region_010,interface,0.4389767829439471,Mel44_BMS
Mel44_BMS_region_011,tumor,-0.5103861824251605,Mel44_BMS
Mel44_BMS_region_013,tumor,-0.4680763660354913,Mel44_BMS
Mel44_BMS_region_014,tumor,-0.4760895074958009,Mel44_BMS
Mel44_BMS_region_015,tumor,-0.4371039472374651,Mel44_BMS
Mel44_BMS_region_016,tumor,-0.5387429659928179,Mel44_BMS
Mel44_BMS_region_017,tumor,-0.5204457693420175,Mel44_BMS
Mel44_BMS_region_018,tumor,0.3849591269779938,Mel44_BMS
Mel44_BMS_region_019,tumor,-0.5106295306653152,Mel44_BMS
Mel44_BMS_region_020,tumor,-0.4814668574644418,Mel44_BMS
Mel44_BMS_region_021,stroma,0.7449193719281215,Mel44_BMS
Mel44_BMS_region_022,stroma,0.7966079012560503,Mel44_BMS
Mel44_BMS_region_023,stroma,0.4829250721807094,Mel44_BMS
Mel44_BMS_region_024,stroma,0.6212993326460473,Mel44_BMS
Mel44_BMS_region_025,stroma,0.9051598482101118,Mel44_BMS
Mel44_BMS_region_026,stroma,0.5141086183653204,Mel44_BMS
Mel44_BMS_region_027,stroma,0.924922387022238,Mel44_BMS
Mel44_BMS_region_028,stroma,0.7171216949569745,Mel44_BMS
Mel44_BMS_region_029,stroma,0.8519397831185334,Mel44_BMS
Mel44_BMS_region_030,stroma,0.7560480718976261,Mel44_BMS
Mel44_BMS_region_031,tumor,-0.7036196855619732,Mel44_BMS
Mel44_BMS_region_032,tumor,-0.5891253436469213,Mel44_BMS
Mel44_BMS_region_033,tumor,-0.6867341353371537,Mel44_BMS
Mel44_BMS_region_034,tumor,-0.5462531837908648,Mel44_BMS
Mel44_BMS_region_035,tumor,-0.5326233645275542,Mel44_BMS
Mel44_BMS_region_036,tumor,-0.6312440906979773,Mel44_BMS
Mel44_BMS_region_037,tumor,-0.4425463120170665,Mel44_BMS
Mel44_BMS_region_038,tumor,-0.6851524927122352,Mel44_BMS
Mel44_BMS_region_039,tumor,-0.516394422208492,Mel44_BMS
Mel44_BMS_region_040,tumor,-0.4762531096991108,Mel44_BMS
